date,latitude,longitude,rainfall_mm
2019-05-01,24.5,83.5,0.0
2019-05-01,24.5,83.75,0.0
2019-05-01,24.5,84.0,0.0
2019-05-01,24.5,84.25,0.0
2019-05-01,24.5,84.5,0.0
2019-05-01,24.5,84.75,0.0
2019-05-01,24.5,85.0,0.0
2019-05-01,24.5,85.25,0.0
2019-05-01,24.5,85.5,0.0
2019-05-01,24.5,85.75,0.0
2019-05-01,24.5,86.0,0.0
2019-05-01,24.5,86.25,0.0
2019-05-01,24.5,86.5,0.0
2019-05-01,24.5,86.75,0.0
2019-05-01,24.5,87.0,0.0
2019-05-01,24.5,87.25,0.0
2019-05-01,24.5,87.5,0.0
2019-05-01,24.5,87.75,0.0
2019-05-01,24.5,88.0,0.0
2019-05-01,24.5,88.25,0.0
2019-05-01,24.5,88.5,0.0
2019-05-01,24.75,83.5,0.0
2019-05-01,24.75,83.75,0.0
2019-05-01,24.75,84.0,0.0
2019-05-01,24.75,84.25,0.0
2019-05-01,24.75,84.5,0.0
2019-05-01,24.75,84.75,0.0
2019-05-01,24.75,85.0,0.0
2019-05-01,24.75,85.25,0.0
2019-05-01,24.75,85.5,0.0
2019-05-01,24.75,85.75,0.0
2019-05-01,24.75,86.0,0.0
2019-05-01,24.75,86.25,0.0
2019-05-01,24.75,86.5,0.0
2019-05-01,24.75,86.75,0.0
2019-05-01,24.75,87.0,0.0
2019-05-01,24.75,87.25,0.0
2019-05-01,24.75,87.5,0.0
2019-05-01,24.75,87.75,0.0
2019-05-01,24.75,88.0,0.0
2019-05-01,24.75,88.25,0.0
2019-05-01,24.75,88.5,0.0
2019-05-01,25.0,83.5,0.0
2019-05-01,25.0,83.75,0.0
2019-05-01,25.0,84.0,0.0
2019-05-01,25.0,84.25,0.0
2019-05-01,25.0,84.5,0.0
2019-05-01,25.0,84.75,0.0
2019-05-01,25.0,85.0,0.0
2019-05-01,25.0,85.25,0.0
2019-05-01,25.0,85.5,0.0
2019-05-01,25.0,85.75,0.0
2019-05-01,25.0,86.0,0.0
2019-05-01,25.0,86.25,0.0
2019-05-01,25.0,86.5,0.0
2019-05-01,25.0,86.75,0.0
2019-05-01,25.0,87.0,0.0
2019-05-01,25.0,87.25,0.0
2019-05-01,25.0,87.5,0.0
2019-05-01,25.0,87.75,0.0
2019-05-01,25.0,88.0,0.0
2019-05-01,25.0,88.25,0.0
2019-05-01,25.0,88.5,0.0
2019-05-01,25.25,83.5,0.0
2019-05-01,25.25,83.75,0.0
2019-05-01,25.25,84.0,0.0
2019-05-01,25.25,84.25,0.0
2019-05-01,25.25,84.5,0.0
2019-05-01,25.25,84.75,0.0
2019-05-01,25.25,85.0,0.0
2019-05-01,25.25,85.25,0.0
2019-05-01,25.25,85.5,0.0
2019-05-01,25.25,85.75,0.0
2019-05-01,25.25,86.0,0.0
2019-05-01,25.25,86.25,0.0
2019-05-01,25.25,86.5,0.0
2019-05-01,25.25,86.75,0.0
2019-05-01,25.25,87.0,0.0
2019-05-01,25.25,87.25,0.0
2019-05-01,25.25,87.5,0.0
2019-05-01,25.25,87.75,0.0
2019-05-01,25.25,88.0,0.0
2019-05-01,25.25,88.25,0.0
2019-05-01,25.25,88.5,0.0
2019-05-01,25.5,83.5,0.0
2019-05-01,25.5,83.75,0.0
2019-05-01,25.5,84.0,0.0
2019-05-01,25.5,84.25,0.0
2019-05-01,25.5,84.5,0.0
2019-05-01,25.5,84.75,0.0
2019-05-01,25.5,85.0,0.0
2019-05-01,25.5,85.25,0.0
2019-05-01,25.5,85.5,0.0
2019-05-01,25.5,85.75,0.0
2019-05-01,25.5,86.0,0.0
2019-05-01,25.5,86.25,0.0
2019-05-01,25.5,86.5,0.0
2019-05-01,25.5,86.75,0.0
2019-05-01,25.5,87.0,0.0
2019-05-01,25.5,87.25,0.0
2019-05-01,25.5,87.5,0.0
2019-05-01,25.5,87.75,0.0
2019-05-01,25.5,88.0,0.0
2019-05-01,25.5,88.25,0.0
2019-05-01,25.5,88.5,0.3019815981388092
2019-05-01,25.75,83.5,0.0
2019-05-01,25.75,83.75,0.0
2019-05-01,25.75,84.0,0.0
2019-05-01,25.75,84.25,0.0
2019-05-01,25.75,84.5,0.0
2019-05-01,25.75,84.75,0.0
2019-05-01,25.75,85.0,0.0
2019-05-01,25.75,85.25,0.0
2019-05-01,25.75,85.5,0.0
2019-05-01,25.75,85.75,0.0
2019-05-01,25.75,86.0,0.0
2019-05-01,25.75,86.25,0.0
2019-05-01,25.75,86.5,0.0
2019-05-01,25.75,86.75,0.0
2019-05-01,25.75,87.0,0.0
2019-05-01,25.75,87.25,0.0
2019-05-01,25.75,87.5,0.0
2019-05-01,25.75,87.75,0.0
2019-05-01,25.75,88.0,0.0
2019-05-01,25.75,88.25,0.4206899106502533
2019-05-01,25.75,88.5,0.0
2019-05-01,26.0,83.5,0.0
2019-05-01,26.0,83.75,0.0
2019-05-01,26.0,84.0,0.0
2019-05-01,26.0,84.25,0.0
2019-05-01,26.0,84.5,0.0
2019-05-01,26.0,84.75,0.0
2019-05-01,26.0,85.0,0.0
2019-05-01,26.0,85.25,0.0
2019-05-01,26.0,85.5,0.0
2019-05-01,26.0,85.75,0.0
2019-05-01,26.0,86.0,0.0
2019-05-01,26.0,86.25,0.0
2019-05-01,26.0,86.5,0.0
2019-05-01,26.0,86.75,0.0
2019-05-01,26.0,87.0,0.0
2019-05-01,26.0,87.25,0.0
2019-05-01,26.0,87.5,0.0
2019-05-01,26.0,87.75,0.42259830236434937
2019-05-01,26.0,88.0,2.650895595550537
2019-05-01,26.0,88.25,2.8258934020996094
2019-05-01,26.0,88.5,0.0
2019-05-01,26.25,83.5,0.0
2019-05-01,26.25,83.75,0.0
2019-05-01,26.25,84.0,0.0
2019-05-01,26.25,84.25,0.0
2019-05-01,26.25,84.5,0.0
2019-05-01,26.25,84.75,0.0
2019-05-01,26.25,85.0,0.0
2019-05-01,26.25,85.25,0.0
2019-05-01,26.25,85.5,0.0
2019-05-01,26.25,85.75,0.0
2019-05-01,26.25,86.0,0.0
2019-05-01,26.25,86.25,0.0
2019-05-01,26.25,86.5,0.0
2019-05-01,26.25,86.75,0.0
2019-05-01,26.25,87.0,0.0
2019-05-01,26.25,87.25,0.0
2019-05-01,26.25,87.5,0.0
2019-05-01,26.25,87.75,1.2836017608642578
2019-05-01,26.25,88.0,6.740757942199707
2019-05-01,26.25,88.25,4.3776140213012695
2019-05-01,26.25,88.5,0.0
2019-05-01,26.5,83.5,0.0
2019-05-01,26.5,83.75,0.0
2019-05-01,26.5,84.0,0.0
2019-05-01,26.5,84.25,0.0
2019-05-01,26.5,84.5,0.0
2019-05-01,26.5,84.75,0.0
2019-05-01,26.5,85.0,0.0
2019-05-01,26.5,85.25,0.0
2019-05-01,26.5,85.5,0.0
2019-05-01,26.5,85.75,0.0
2019-05-01,26.5,86.0,0.0
2019-05-01,26.5,86.25,0.0
2019-05-01,26.5,86.5,0.0
2019-05-01,26.5,86.75,0.0
2019-05-01,26.5,87.0,0.0
2019-05-01,26.5,87.25,0.0
2019-05-01,26.5,87.5,7.453113079071045
2019-05-01,26.5,87.75,8.067567825317383
2019-05-01,26.5,88.0,13.498895645141602
2019-05-01,26.5,88.25,3.0460565090179443
2019-05-01,26.5,88.5,1.4116127490997314
2019-05-01,26.75,83.5,0.0
2019-05-01,26.75,83.75,0.0
2019-05-01,26.75,84.0,0.0
2019-05-01,26.75,84.25,0.0
2019-05-01,26.75,84.5,0.0
2019-05-01,26.75,84.75,0.0
2019-05-01,26.75,85.0,0.0
